,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__pipeline-1__pca__n_components,param_columntransformer__pipeline-1__tfidfvectorizer__dtype,param_columntransformer__pipeline-1__tfidfvectorizer__min_df,param_columntransformer__pipeline-1__tfidfvectorizer__ngram_range,param_columntransformer__pipeline-1__tfidfvectorizer__norm,param_columntransformer__pipeline-1__tfidfvectorizer__tokenizer,param_columntransformer__pipeline-1__tfidfvectorizer__use_idf,param_columntransformer__pipeline-2__pca__n_components,param_columntransformer__pipeline-2__standardscaler,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6,110.89104763666789,2.925795643315177,0.9863169193267822,0.03663047832694358,0.7124503944262482,<class 'numpy.float64'>,2,"(1, 2)",l2,<function stemming_tokenizer at 0x7f8d0c880180>,True,0.7699672317485412,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.7124503944262482, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 2, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': True, 'columntransformer__pipeline-2__pca__n_components': 0.7699672317485412, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5778742842473668,0.5792010561727915,0.5591330203391041,0.5720694535864207,0.009163462220770585,1
0,388.38415630658466,4.050927067964696,1.9604869683583577,0.2999397013289281,0.6482646904233974,<class 'numpy.float64'>,1,"(1, 2)",l2,,True,0.3972370719379278,passthrough,"{'columntransformer__pipeline-1__pca__n_components': 0.6482646904233974, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 1, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': True, 'columntransformer__pipeline-2__pca__n_components': 0.3972370719379278, 'columntransformer__pipeline-2__standardscaler': 'passthrough'}",0.572643712065662,0.5726158226553677,0.5618470123058397,0.5690355156756232,0.0050830522312119205,2
13,29.07418918609619,0.9157580837858547,0.795097827911377,0.1142228627352031,0.6227248054132329,<class 'numpy.float64'>,4,"(1, 2)",l1,,True,0.41825038349887234,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.6227248054132329, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 4, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l1', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': True, 'columntransformer__pipeline-2__pca__n_components': 0.41825038349887234, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5588957549151529,0.5557111952353875,0.560314578554513,0.5583071762350178,0.001924855517129022,3
44,9.926793893178305,1.0791986669481175,0.6839941342671713,0.11809219106189374,0.9480946117576052,<class 'numpy.float64'>,8,"(1, 2)",l2,<function stemming_tokenizer at 0x7f8d0c880180>,False,0.8796462244529094,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.9480946117576052, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 8, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.8796462244529094, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5415229597812566,0.5755022817683993,0.5519067570470183,0.5563106661988915,0.01421722880967417,4
32,5.331058661142985,0.08784856886635259,0.5754890441894531,0.02553977999037984,0.5532431477114893,<class 'numpy.float64'>,16,"(1, 2)",l2,,True,0.5555586085946493,passthrough,"{'columntransformer__pipeline-1__pca__n_components': 0.5532431477114893, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 16, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': True, 'columntransformer__pipeline-2__pca__n_components': 0.5555586085946493, 'columntransformer__pipeline-2__standardscaler': 'passthrough'}",0.5541090733812672,0.574382848785844,0.52676734541235,0.5517530891931538,0.019510203082810873,5
12,8.919962406158447,2.0473089488826757,0.6907764275868734,0.11745136966207502,0.7879725216229646,<class 'numpy.float32'>,8,"(2, 2)",,,False,0.9642374587440796,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.7879725216229646, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 8, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (2, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': None, 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.9642374587440796, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5465468449024244,0.5723630878568059,0.5333524323792732,0.5507541217128344,0.01620151626270925,6
23,319.18758885065716,1.3128633277662043,0.9676759243011475,0.027550051638215313,0.24929885635333576,<class 'numpy.float64'>,1,"(2, 2)",l2,<function stemming_tokenizer at 0x7f8d0c880180>,False,0.9471602210929122,passthrough,"{'columntransformer__pipeline-1__pca__n_components': 0.24929885635333576, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 1, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (2, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.9471602210929122, 'columntransformer__pipeline-2__standardscaler': 'passthrough'}",0.5568491355063487,0.5482604518891251,0.5465748235675256,0.5505614703209998,0.0044989914293414104,7
24,7.983601093292236,1.2570388539127904,0.28040703137715656,0.621165572354175,0.5109853270316991,<class 'numpy.float64'>,8,"(1, 2)",l2,<function stemming_tokenizer at 0x7f8d0c880180>,False,0.5530891399953908,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.5109853270316991, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float64'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 8, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 2), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.5530891399953908, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5515066379111733,0.5568715248080224,0.5163570028177029,0.5415783885122994,0.01796819829811729,8
28,5.572654803593953,0.7401140214865959,0.7069811820983887,0.12778944818201174,0.15031968670078627,<class 'numpy.float32'>,16,"(1, 1)",l2,<function stemming_tokenizer at 0x7f8d0c880180>,False,0.7784115250117865,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.15031968670078627, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 16, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': <function stemming_tokenizer at 0x7f8d0c880180>, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.7784115250117865, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5363319719444065,0.5487467376908848,0.5320664495222698,0.5390483863858536,0.007075412068578831,9
2,3.403489271799723,0.7740525789796968,0.5576291879018148,0.04586371461097069,0.4370587642568511,<class 'numpy.float32'>,8,"(1, 1)",l2,,False,0.9691421360985724,StandardScaler(),"{'columntransformer__pipeline-1__pca__n_components': 0.4370587642568511, 'columntransformer__pipeline-1__tfidfvectorizer__dtype': <class 'numpy.float32'>, 'columntransformer__pipeline-1__tfidfvectorizer__min_df': 8, 'columntransformer__pipeline-1__tfidfvectorizer__ngram_range': (1, 1), 'columntransformer__pipeline-1__tfidfvectorizer__norm': 'l2', 'columntransformer__pipeline-1__tfidfvectorizer__tokenizer': None, 'columntransformer__pipeline-1__tfidfvectorizer__use_idf': False, 'columntransformer__pipeline-2__pca__n_components': 0.9691421360985724, 'columntransformer__pipeline-2__standardscaler': StandardScaler()}",0.5394543549232638,0.5388116544431549,0.5380510784241872,0.5387723625968687,0.0005735585527235999,10
